id,genres,name,platforms,rating,companies,release_date
15188,"Simulator, Strategy",Imperium Galactica,"PC (Microsoft Windows), DOS, iOS",99.89495382393702,"Digital Reality, GT Interactive Software",1997-03-01
264773,"Hack and slash/Beat 'em up, Indie",Lizards Must Die,PC (Microsoft Windows),99.7789506364483,"Agafonoff, The Bratans, Smola Game Studio",2023-09-27
46147,Role-playing (RPG),Golden Axe Warrior,Sega Master System/Mark III,99.53722950908217,"Tec Toy, Sega Enterprises, Ltd.",1991-07-01
5010,"Simulator, Sport",MLB Power Pros 2008,"Wii, PlayStation 2, Nintendo DS",99.53061066934302,"2K Sports, Konami",2008-07-29
88973,"Platform, Role-playing (RPG), Adventure",Goblin Sword,"iOS, Nintendo Switch",99.46866196342812,Gelato Games,2014-09-11
45131,"Shooter, Racing, Sport",Grand Theft Auto V: Special Edition,"PlayStation 3, Xbox 360",99.41764666929319,"Rockstar Games, Take-Two Interactive",2013-09-17
4095,Platform,Scaler,"PlayStation 2, Xbox, Nintendo GameCube",99.41561178986777,"Take-Two Interactive, Global Star Software, A2M",2004-10-01
11226,"Simulator, Sport",Anstoss 3,PC (Microsoft Windows),98.98294206691313,Ascaron Entertainment,2000-06-01
117263,Card & Board Game,Mahjong Soul,"PC (Microsoft Windows), Android, iOS",98.87797480622322,"Yostar Games, Cat Food Studio",2019-04-25
122661,"Strategy, Card & Board Game",Gwent: Iron Judgment,Xbox One,98.6290549226521,CD Projekt,2019-10-02
22439,"Role-playing (RPG), Adventure",The Witcher 3: Wild Hunt - Game of the Year Edition,"PC (Microsoft Windows), PlayStation 4, Xbox One",98.32251495856534,"CD Projekt RED, CD Projekt",2016-08-29
11631,"Point-and-click, Puzzle, Role-playing (RPG), Adventure, Indie",Hiveswap: Act 1,"Linux, PC (Microsoft Windows), Mac",97.98994376039757,"What Pumpkin Games, Fellow Traveller",2017-09-14
318575,"Real Time Strategy (RTS), Strategy, Tactical, Card & Board Game",Epiko Regal,"Android, iOS",97.821058428879,Wharf Street Studios,2024-08-15
51267,"Adventure, Visual Novel",Umineko no Naku Koro ni Chiru,PC (Microsoft Windows),97.74226168366063,"07th Expansion, HOBIBOX",2011-09-01
165192,"Role-playing (RPG), Adventure",The Elder Scrolls V: Skyrim - Anniversary Edition,"PC (Microsoft Windows), PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series X|S",97.62630618541138,"Bethesda Game Studios, Bethesda Softworks, Xbox Game Studios",2021-11-11
137451,"Role-playing (RPG), Strategy, Adventure, Indie",Eiyuden Chronicle: Hundred Heroes,"PC (Microsoft Windows), PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series X|S",97.26972907865259,"505 Games, Rabbit & Bear Studios",2024-04-23
28278,"Strategy, Quiz/Trivia, Card & Board Game",Catan Universe,"PC (Microsoft Windows), Mac, iOS, Nintendo Switch",97.13895178905847,"Exozet, United Soft Media Verlag GmbH",2017-04-25
10496,"Role-playing (RPG), Adventure",Wizardry: Bane of the Cosmic Forge,"Linux, PC (Microsoft Windows), DOS, Mac, Amiga, Super Famicom, FM Towns, Satellaview",97.13743999207188,"St. GIGA, Sir-tech Software, Game Studio, ASCII Entertainment",1990-05-21
192731,"Point-and-click, Puzzle, Adventure",Burnhouse Lane,"PC (Microsoft Windows), PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series X|S",97.0055788426593,Harvester Games,2022-12-02
96439,"Platform, Adventure, Indie, Arcade",Venture Kid,"PC (Microsoft Windows), iOS, Nintendo Switch",97.0,FDG Entertainment,2016-01-13
12329,"Adventure, Visual Novel",Fate/Hollow Ataraxia,PlayStation Vita,96.46940198172223,TYPE-MOON,2014-11-27
55077,"Role-playing (RPG), Simulator, Sport, Strategy, Indie",Beast Battle Simulator,"PC (Microsoft Windows), iOS",96.41172265904217,DOG HOGGLER,2017-08-23
